id,district,area,year,rainfall,irrigation,total_irrigation,seed_required,seed_available,fertilizer,pesticides,production,total_cost
327,Nilphamari,3852,2014,1443,50,329,2362.5,228.926,0.228,213.866,16672,166720
328,Nilphamari,4375,2015,1584,50,329,616.14,59.704,0.266,189.606,19874,198740
329,Lalmonirhat,1141,2009,1409,12,227,621,60.175,0.27,290.67,3762,37620
330,Lalmonirhat,1150,2010,1509,10,233,536.76,52.012,0.213,276.765,4571,45710
331,Lalmonirhat,994,2011,2239,12,231,573.48,55.57,0.239,235.07,3920,39200
332,Lalmonirhat,1062,2012,1662,12,234,799.2,77.442,0.238,227.999,4382,43820
333,Lalmonirhat,1480,2013,3436,12,231,797.04,77.233,0.203,254.012,5925,59250
334,Lalmonirhat,1476,2014,3128,11,237,742.5,71.948,0.242,213.866,5818,58180
335,Lalmonirhat,1375,2015,4360,10,224,254.34,24.646,0.242,189.606,4874,48740
336,Jessore,471,2009,1668,7,601,367.2,35.582,0.282,290.67,1457,14570
337,Jessore,680,2010,1380,7,630,247.32,23.965,0.257,276.765,1668,16680
338,Jessore,458,2011,1361,7,628,295.38,28.622,0.279,235.07,1345,13450
339,Jessore,547,2012,1305,7,623,369.36,35.791,0.211,227.999,1549,15490
340,Jessore,684,2013,1676,7,622,407.16,39.454,0.272,254.012,1758,17580
341,Jessore,754,2014,1318,7,588,428.76,41.547,0.289,213.866,1984,19840
342,Jessore,794,2015,1867,7,606,457.34,41.985,0.45,215.128,2145,27450
